TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
78,CUST1223,ACC33287,Credit,Withdrawal,Savings Account,Firm E,South,Manager 4,06-01-2023,81300.42519,40843.56193,0.330474205,484,13
21,CUST8266,ACC58667,Savings,Withdrawal,Credit Card,Firm A,South,Manager 2,17-02-2023,9269.640373,61183.03953,0.089688124,836,18
176,CUST9420,ACC99117,Credit,Transfer,Home Loan,Firm A,East,Manager 1,13-09-2023,28138.55265,85460.13405,0.340010159,451,25
167,CUST5253,ACC10117,Loan,Payment,Mutual Fund,Firm D,Central,Manager 1,28-05-2024,83943.55698,100525.359,0.605383109,487,13
46,CUST1223,ACC74631,Savings,Deposit,Credit Card,Firm A,East,Manager 4,12-05-2023,77104.45647,57425.6993,1.042440615,393,10
97,CUST1467,ACC65144,Savings,Transfer,Personal Loan,Firm C,North,Manager 1,10-12-2023,18727.12784,86727.62188,0.250873121,550,229
76,CUST3187,ACC72197,Savings,Deposit,Mutual Fund,Firm B,South,Manager 4,17-02-2024,28719.95592,32349.20862,0.687498069,465,152
188,CUST9528,ACC25132,Savings,Withdrawal,Savings Account,Firm D,West,Manager 2,30-07-2023,43770.67792,46525.22852,0.872795414,703,82
84,CUST3810,ACC43771,Credit,Payment,Credit Card,Firm A,South,Manager 3,21-12-2023,64084.08125,154875.4337,0.534972932,386,163
13,CUST2805,ACC19178,Credit,Payment,Credit Card,Firm D,West,Manager 3,17-02-2024,138133.8216,58667.17647,0.386821652,747,126
140,CUST6735,ACC83848,Current,Deposit,Mutual Fund,Firm E,Central,Manager 3,10-01-2023,32006.0256,57622.88289,0.560801783,453,182
16,CUST6391,ACC25132,Current,Deposit,Home Loan,Firm A,South,Manager 4,02-03-2024,74244.98012,135851.4653,0.38219113,753,151
21,CUST6837,ACC82381,Credit,Deposit,Credit Card,Firm E,South,Manager 4,09-04-2023,53635.68928,99074.60346,0.497148623,503,177
13,CUST5255,ACC11062,Loan,Transfer,Mutual Fund,Firm D,West,Manager 2,30-09-2023,54976.00088,84615.60555,0.189273651,829,189
54,CUST5705,ACC39161,Credit,Withdrawal,Credit Card,Firm C,South,Manager 2,17-12-2023,31022.92727,98433.75806,0.556357176,757,166
86,CUST5664,ACC16664,Credit,Payment,Savings Account,Firm B,West,Manager 1,01-07-2023,96375.53695,61052.62481,0.039583367,622,22
158,CUST3378,ACC58667,Savings,Transfer,Savings Account,Firm A,West,Manager 4,09-12-2023,49963.75576,130684.8759,0.31749818,829,204
152,CUST2427,ACC39544,Savings,Payment,Savings Account,Firm C,Central,Manager 3,17-06-2023,83890.54371,151720.7822,0.394202614,500,81
22,CUST4595,ACC49180,Credit,Transfer,Mutual Fund,Firm E,West,Manager 2,20-10-2023,64389.23246,73489.90682,0.58070136,765,140
36,CUST1747,ACC73104,Savings,Withdrawal,Mutual Fund,Firm C,West,Manager 1,21-03-2024,23118.06706,98758.66658,0.835286944,401,14
82,CUST1376,ACC88252,Current,Deposit,Credit Card,Firm D,South,Manager 1,20-10-2023,50654.94487,56896.2438,0.22257199,638,71
197,CUST2871,ACC48501,Loan,Deposit,Mutual Fund,Firm A,North,Manager 3,16-02-2023,74701.5369,125251.8788,0.471264203,539,131
60,CUST6292,ACC45968,Savings,Payment,Credit Card,Firm E,East,Manager 1,25-04-2024,115102.7512,38944.29797,0.150760415,781,224
158,CUST2699,ACC42467,Credit,Transfer,Mutual Fund,Firm B,East,Manager 3,05-02-2024,118633.9728,108732.1213,0.536263879,456,81
85,CUST5574,ACC51009,Credit,Deposit,Mutual Fund,Firm C,West,Manager 2,10-02-2023,39011.23849,40906.67652,0.543084592,787,95
17,CUST6549,ACC83581,Current,Deposit,Personal Loan,Firm B,South,Manager 3,19-06-2023,51130.95535,92158.21136,0.171277698,740,102
163,CUST7173,ACC67713,Current,Payment,Personal Loan,Firm A,West,Manager 1,21-05-2023,105137.5335,83036.62699,0.560680207,727,106
126,CUST5574,ACC29477,Loan,Payment,Credit Card,Firm A,East,Manager 4,19-04-2023,72899.22761,135704.6603,0.422304218,574,215
86,CUST9420,ACC48501,Savings,Payment,Credit Card,Firm A,Central,Manager 4,01-07-2023,63073.17551,118699.5104,0.440577583,790,92
188,CUST6319,ACC66190,Credit,Withdrawal,Home Loan,Firm B,South,Manager 1,23-02-2023,76960.52529,113504.4548,0.641750431,666,9
3,CUST1114,ACC30146,Credit,Withdrawal,Home Loan,Firm C,Central,Manager 4,08-01-2024,30315.25694,71397.41925,0.766017366,586,110
66,CUST3187,ACC61926,Loan,Payment,Savings Account,Firm B,West,Manager 1,16-10-2023,78485.42595,39476.90475,0.713914659,321,127
57,CUST1747,ACC77592,Current,Withdrawal,Mutual Fund,Firm A,East,Manager 4,10-02-2023,39297.02129,19610.1117,0.738832843,663,86
61,CUST4373,ACC92558,Loan,Transfer,Home Loan,Firm B,Central,Manager 1,30-07-2023,85109.13744,25998.63045,0.703875521,468,195
18,CUST4595,ACC65144,Credit,Withdrawal,Mutual Fund,Firm A,North,Manager 3,18-08-2023,47193.27535,28317.56062,0.517591499,340,213
166,CUST9066,ACC24508,Current,Transfer,Credit Card,Firm E,North,Manager 4,24-10-2023,79210.55362,11373.48895,0.477878769,327,169
150,CUST6565,ACC29396,Loan,Payment,Mutual Fund,Firm D,East,Manager 2,19-06-2023,50078.28767,48158.55283,0.782644879,586,111
59,CUST9528,ACC39482,Savings,Withdrawal,Home Loan,Firm D,South,Manager 1,08-03-2023,53097.32997,13203.20352,0.402530881,605,61
136,CUST7481,ACC73104,Current,Transfer,Savings Account,Firm D,West,Manager 4,11-09-2023,97418.54811,20409.0639,0.303952032,788,143
188,CUST2427,ACC29477,Credit,Withdrawal,Mutual Fund,Firm D,Central,Manager 1,22-05-2024,27337.13222,39416.47556,0.582674681,349,100
137,CUST5320,ACC76699,Loan,Withdrawal,Savings Account,Firm A,Central,Manager 2,18-03-2023,52112.9298,50618.27611,0.819887136,447,92
118,CUST2349,ACC24508,Current,Withdrawal,Credit Card,Firm C,North,Manager 4,26-05-2023,-13059.75993,89347.03704,0.241124687,406,175
166,CUST6937,ACC22036,Credit,Withdrawal,Savings Account,Firm B,Central,Manager 4,26-04-2023,64665.537,51876.39541,0.502500359,690,120
171,CUST1962,ACC49395,Savings,Deposit,Personal Loan,Firm B,North,Manager 2,06-11-2023,58493.03376,92464.01954,0.320637573,315,161
142,CUST4438,ACC58667,Credit,Deposit,Personal Loan,Firm D,North,Manager 1,24-12-2023,15576.59406,51038.72408,0.140902028,728,178
48,CUST6565,ACC38559,Credit,Deposit,Savings Account,Firm A,East,Manager 3,10-09-2023,59276.48517,56906.39741,0.01319313,756,26
123,CUST7388,ACC95164,Loan,Transfer,Savings Account,Firm E,Central,Manager 2,25-07-2023,47351.43167,104937.3197,0.652554945,497,57
185,CUST1497,ACC21264,Credit,Withdrawal,Savings Account,Firm C,South,Manager 1,19-11-2023,106306.4283,21894.58807,0.794520614,728,130
139,CUST7493,ACC72197,Loan,Deposit,Savings Account,Firm D,South,Manager 1,12-01-2024,107979.9353,46520.61418,0.632509565,716,180
53,CUST3153,ACC34821,Loan,Deposit,Mutual Fund,Firm C,South,Manager 4,05-02-2023,61502.48708,74500.66226,0.432696003,419,221
91,CUST3131,ACC74656,Credit,Deposit,Credit Card,Firm E,Central,Manager 1,22-10-2023,69571.32611,88188.36813,0.604618693,668,181
157,CUST5255,ACC48501,Current,Deposit,Savings Account,Firm C,East,Manager 1,26-02-2023,67688.8152,87868.85133,0.255571961,626,228
105,CUST2578,ACC53865,Current,Withdrawal,Mutual Fund,Firm B,South,Manager 2,10-02-2023,37480.62411,68543.86201,0.475331711,472,141
3,CUST6776,ACC96277,Savings,Transfer,Home Loan,Firm A,North,Manager 3,13-01-2023,101274.9524,129527.0961,0.434336173,449,120
90,CUST8155,ACC15671,Loan,Withdrawal,Credit Card,Firm C,West,Manager 4,11-08-2023,89069.30138,58979.85881,0.802974049,631,138
163,CUST2612,ACC50817,Loan,Withdrawal,Home Loan,Firm B,North,Manager 3,21-11-2023,110477.4329,49526.50561,0.232655644,761,137
153,CUST9754,ACC83581,Loan,Transfer,Personal Loan,Firm D,North,Manager 3,14-04-2023,101370.934,61311.67401,0.920909319,548,218
46,CUST2427,ACC51971,Current,Deposit,Savings Account,Firm A,Central,Manager 2,21-03-2024,85474.13877,63456.95394,0.400838353,661,199
72,CUST1498,ACC10117,Current,Deposit,Mutual Fund,Firm D,North,Manager 1,30-01-2023,52336.34278,46657.2179,0.227450308,659,16
